datedebutmois,localisation,typecomptectb_centrecoutcode,atelierbtid,categoriecode,montantreel
2010-01-01,1220,5-0500,1220.0,AFCB,60.0
2010-01-01,1220,5-0500,1220.0,AHAB,191.14
2010-01-01,1220,5-0500,1220.0,BAAA,171.52
2010-01-01,1220,5-0500,1220.0,BBAA,203.23
2010-01-01,1220,5-0500,1220.0,BCAA,12.01
2010-01-01,1220,5-0500,1220.0,BEAA,12.01
2010-01-01,1220,5-0500,1220.0,BGAC,21.23
2010-01-01,1220,5-0500,1220.0,BHAC,2303.79
2010-01-01,1220,5-0500,1220.0,BKAD,385.66
2010-01-01,1220,5-0500,1220.0,BLDX,2914.84
2010-01-01,1220,5-0500,1220.0,BMBE,1984.14
2010-01-01,1220,5-0500,1220.0,BMEJ,120.57
2010-01-01,1220,5-0500,1220.0,BMGA,539.81
2010-01-01,1220,5-0500,1220.0,BQBB,2117.23
2010-01-01,1220,5-0500,1220.0,BQBC,1792.48
2010-01-01,1220,5-0500,1220.0,BQEX,388.65
2010-01-01,1220,5-0500,1220.0,BREM,12.0
2010-01-01,1220,5-0500,1220.0,BWAA,69.0
2010-01-01,1220,5-0500,1220.0,CEAA,112.65
2010-01-01,1220,5-0500,1220.0,CEDC,116.61
2010-01-01,1220,5-0500,1220.0,CFAA,2386.67
2010-01-01,1220,5-0500,1220.0,CFAB,334.95
2010-01-01,1220,5-0500,1220.0,CGAB,419.19
2010-01-01,1220,5-0500,1220.0,CGDD,521.79
2010-01-01,1220,5-0500,1220.0,CJBA,24.36
2010-01-01,1220,5-0500,1220.0,CLBA,423.6
2010-01-01,1220,5-0500,1220.0,CPDD,133.99
2010-01-01,1220,5-0500,1220.0,CTAA,36.01
2010-01-01,1220,5-0500,1220.0,CUFA,1908.26
2010-01-01,1220,5-0500,1220.0,CUFB,136.46
2010-01-01,1220,5-0500,1220.0,CXAA,71.35
2010-01-01,1220,5-0500,1220.0,DAAG,146.66
2010-01-01,1220,5-0500,1220.0,DAAJ,80.0
2010-01-01,1220,5-0500,1220.0,DAAK,74.88
2010-01-01,1220,5-0500,1220.0,DBDM,3445.32
2010-01-01,1220,5-0500,1220.0,DCAC,297.6
2010-01-01,1220,5-0500,1220.0,DCAE,57.09
2010-01-01,1220,5-0500,1220.0,DCAG,488.77
2010-01-01,1220,5-0500,1220.0,DCAJ,91.18
2010-01-01,1220,5-0500,1220.0,DDAG,187.09
2010-01-01,1220,5-0500,1220.0,DGDH,240.32
2010-01-01,1220,5-0500,1220.0,DGDM,24.0
2010-01-01,1220,5-0500,1220.0,DJAC,114.89
2010-01-01,1220,5-0500,1220.0,DJAD,51.75
2010-01-01,1220,5-0500,1220.0,DLAG,1121.0
2010-01-01,1220,5-0500,1220.0,DWDM,87.99
2010-01-01,1220,5-0500,1220.0,DZDM,426.49
2010-01-01,1220,5-0500,1220.0,FAAB,358.28
2010-01-01,1220,5-0500,1220.0,FCAC,530.35
2010-01-01,1220,5-0500,1220.0,JQDX,1639.49
2010-01-01,1220,5-0500,1220.0,RACK,15.14
2010-01-01,1220,5-0500,1220.0,SJBH,160.56
2010-01-01,1220,5-0500,1220.0,SQBC,24.0
2010-01-01,1220,5-0500,1220.0,TAAD,43.0
2010-01-01,1220,5-0500,1220.0,VGEF,169.24
2010-01-01,1220,5-0500,1220.0,VPBT,12.0
2010-01-01,1220,5-0500,1220.0,WBXX,1295.08
2010-01-01,1220,5-0500,1220.0,YEXX,2265.77
2010-01-01,1220,5-0500,1230.0,2ACA,12.0
2010-01-01,1220,5-0500,1230.0,3ABC,436.67
2010-01-01,1220,5-0500,1230.0,3ADD,103.95
2010-01-01,1220,5-0500,1230.0,3BBD,112.96
2010-01-01,1220,5-0500,1230.0,4JAF,12.0
2010-01-01,1220,5-0500,1230.0,6PCX,2520.96
2010-01-01,1220,5-0500,1230.0,9GEA,12.0
2010-01-01,1220,5-0500,1230.0,AHAB,137.52
2010-01-01,1220,5-0500,1230.0,BMBE,558.15
2010-01-01,1220,5-0500,1230.0,CFAA,3349.24
2010-01-01,1220,5-0500,1230.0,CFAB,261.92
2010-01-01,1220,5-0500,1230.0,CGAB,105.12
2010-01-01,1220,5-0500,1230.0,CPDD,31.85
2010-01-01,1220,5-0500,1230.0,CUFA,12.0
2010-01-01,1220,5-0500,1230.0,CXAA,12.0
2010-01-01,1220,5-0500,1230.0,DAAK,36.0
2010-01-01,1220,5-0500,1230.0,DBDM,1633.31
2010-01-01,1220,5-0500,1230.0,DCAE,107.72
2010-01-01,1220,5-0500,1230.0,DJAC,35.94
2010-01-01,1220,5-0500,1230.0,DTAC,12.0
2010-01-01,1220,5-0500,1230.0,DWDM,251.27
2010-01-01,1220,5-0500,1230.0,FCAB,12.0
2010-01-01,1220,5-0500,1230.0,FCAF,709.44
2010-01-01,1220,5-0500,1230.0,SQBC,24.0
2010-01-01,1220,5-0500,1240.0,CFAA,136.15
2010-01-01,1220,5-0500,1240.0,CXAA,12.17
2010-01-01,1220,5-0500,1240.0,DBDM,12.17
2010-01-01,1220,5-0500,1240.0,SQBC,12.17
2010-01-01,1220,5-0500,1240.0,TBAJ,145.05
2010-01-01,1220,5-0500,1240.0,YP02,762.17
2010-01-01,1220,5-0500,1250.0,2KCB,16.92
2010-01-01,1220,5-0500,1250.0,DAAJ,271.05
2010-01-01,1220,5-0500,1320.0,BKAD,33.16
2010-01-01,1220,5-0500,1440.0,BQBC,154.02
2010-01-01,1220,5-0500,1450.0,REBZ,65.72
2010-01-01,1220,5-1000,530.0,BMBE,1220.0
2010-01-01,1220,5-1000,1210.0,CFAA,0.0
2010-01-01,1220,5-1000,1220.0,4DXX,280.0
2010-01-01,1220,5-1000,1220.0,AAAA,64.95
2010-01-01,1220,5-1000,1220.0,ADAA,248.45
2010-01-01,1220,5-1000,1220.0,BBAA,212.11
2010-01-01,1220,5-1000,1220.0,BEAC,19.5
2010-01-01,1220,5-1000,1220.0,BLDX,2907.63
2010-01-01,1220,5-1000,1220.0,BMBE,1456.4
2010-01-01,1220,5-1000,1220.0,BMEJ,3671.9
2010-01-01,1220,5-1000,1220.0,BMGA,1597.74
2010-01-01,1220,5-1000,1220.0,BQBB,146.7
2010-01-01,1220,5-1000,1220.0,BQBC,298.74
2010-01-01,1220,5-1000,1220.0,BWAA,134.4
2010-01-01,1220,5-1000,1220.0,CGAB,307.23
2010-01-01,1220,5-1000,1220.0,CGDD,15.29
2010-01-01,1220,5-1000,1220.0,CUFA,288.98
2010-01-01,1220,5-1000,1220.0,DBDM,511.14
2010-01-01,1220,5-1000,1220.0,DCAG,470.5
2010-01-01,1220,5-1000,1220.0,DCAJ,2573.72
2010-01-01,1220,5-1000,1220.0,DJAD,60.0
2010-01-01,1220,5-1000,1220.0,DZDM,116.65
2010-01-01,1220,5-1000,1220.0,FAAB,197.25
2010-01-01,1220,5-1000,1220.0,FCAF,1675.0
2010-01-01,1220,5-1000,1220.0,JQDX,1259.41
2010-01-01,1220,5-1000,1230.0,CFAA,759.77
2010-01-01,1220,5-1000,1230.0,DAAK,191.58
2010-01-01,1220,5-1000,1230.0,DBDM,0.0
2010-01-01,1220,5-1000,1230.0,DWDM,259.85
2010-01-01,1220,5-1000,1380.0,BMEJ,112.61
2010-01-01,1220,5-1000,1620.0,AAAA,35.0
2010-01-01,1220,5-1000,1620.0,AHAB,135.0
2010-01-01,1220,5-1000,1620.0,BMBE,215.0
2010-01-01,1220,5-1000,1620.0,BMGA,150.0
2010-01-01,1220,5-1000,1620.0,CFAA,75.0
2010-01-01,1220,5-1000,1620.0,DBDM,370.0
2010-01-01,1220,5-1000,1620.0,DWDM,447.75
2010-01-01,1230,5-0500,1220.0,BHAC,269.62
2010-01-01,1230,5-0500,1220.0,CFAA,442.99
2010-01-01,1230,5-0500,1220.0,CGDD,222.09
2010-01-01,1230,5-0500,1220.0,DBDM,204.77
2010-01-01,1230,5-0500,1220.0,DCAE,324.9
2010-01-01,1230,5-0500,1220.0,DDAG,12.0
2010-01-01,1230,5-0500,1220.0,RJCK,137.55
2010-01-01,1230,5-0500,1220.0,SCAX,130.41
2010-01-01,1230,5-0500,1230.0,3ABC,453.31
2010-01-01,1230,5-0500,1230.0,3BBD,0.0
2010-01-01,1230,5-0500,1230.0,DAAK,95.8
2010-01-01,1230,5-0500,1230.0,DBDM,1582.94
2010-01-01,1230,5-0500,1230.0,DCAK,12.0
2010-01-01,1230,5-0500,1230.0,FCAE,297.83
2010-01-01,1230,5-0500,1230.0,FCAF,278.08
2010-01-01,1230,5-0500,1230.0,JQDX,240.61
2010-01-01,1230,5-0500,1230.0,YEXX,373.74
2010-01-01,1230,5-0500,1820.0,DBDM,293.38
2010-01-01,1230,5-0500,1830.0,2ABA,62.12
2010-01-01,1230,5-0500,1830.0,DAAK,3.06
2010-01-01,1230,5-0500,1830.0,DBDM,968.06
2010-01-01,1230,5-1000,1220.0,CFAA,1450.0
2010-01-01,1230,5-1000,1230.0,DBDM,1353.15
2010-01-01,1230,5-1000,1230.0,FCAE,331.29
2010-01-01,1230,5-1000,1230.0,JQDX,388.54
2010-01-01,1230,5-1000,1620.0,DBDM,850.0
2010-01-01,1230,5-1000,1830.0,DAAK,175.0
2010-01-01,1230,5-1000,1830.0,DBDM,2600.0
2010-01-01,1240,5-0500,1240.0,YEXX,510.89
2010-01-01,1250,5-0500,140.0,CXAA,35.34
2010-01-01,1250,5-0500,530.0,DBDM,2978.13
2010-01-01,1250,5-0500,1220.0,ABAA,451.36
2010-01-01,1250,5-0500,1220.0,CFAA,12.0
2010-01-01,1250,5-0500,1250.0,2ABA,13.57
2010-01-01,1250,5-0500,1250.0,2ECX,12.0
2010-01-01,1250,5-0500,1250.0,3ADD,12.0
2010-01-01,1250,5-0500,1250.0,3BBC,12.0
2010-01-01,1250,5-0500,1250.0,6HBX,12.0
2010-01-01,1250,5-0500,1250.0,9CXX,12.0
2010-01-01,1250,5-0500,1250.0,9GEB,47.25
2010-01-01,1250,5-0500,1250.0,AAAA,597.24
2010-01-01,1250,5-0500,1250.0,BAAA,22.45
2010-01-01,1250,5-0500,1250.0,BSAB,12.0
2010-01-01,1250,5-0500,1250.0,CFAA,2279.06
2010-01-01,1250,5-0500,1250.0,CGAB,70.03
2010-01-01,1250,5-0500,1250.0,CUAA,166.24
2010-01-01,1250,5-0500,1250.0,CUAB,106.63
2010-01-01,1250,5-0500,1250.0,CXAA,1184.33
2010-01-01,1250,5-0500,1250.0,DAAK,630.35
2010-01-01,1250,5-0500,1250.0,DBDM,2197.42
2010-01-01,1250,5-0500,1250.0,DCBC,222.47
2010-01-01,1250,5-0500,1250.0,DGDM,77.8
2010-01-01,1250,5-0500,1250.0,DHFP,1818.11
2010-01-01,1250,5-0500,1250.0,DJAC,12.0
2010-01-01,1250,5-0500,1250.0,FCAC,1331.12
2010-01-01,1250,5-0500,1250.0,JGDE,480.49
2010-01-01,1250,5-0500,1250.0,YEXX,1672.41
2010-01-01,1250,5-0500,1340.0,BLDX,13.2
2010-01-01,1250,5-1000,1250.0,CGAB,36.61
2010-01-01,1250,5-1000,1250.0,DBDM,2235.83
2010-01-01,1250,5-1000,1250.0,FCAC,85.0
2010-01-01,1270,5-0500,1270.0,2ABA,12.0
2010-01-01,1270,5-0500,1270.0,2ADB,85.12
2010-01-01,1270,5-0500,1270.0,3FCD,42.1
2010-01-01,1270,5-0500,1270.0,5BCB,12.0
2010-01-01,1270,5-0500,1270.0,6VBF,12.0
2010-01-01,1270,5-0500,1270.0,ABAA,190.29
2010-01-01,1270,5-0500,1270.0,ALAB,267.55
2010-01-01,1270,5-0500,1270.0,BAAA,30.05
2010-01-01,1270,5-0500,1270.0,BBAA,12.0
2010-01-01,1270,5-0500,1270.0,BJAD,12.0
2010-01-01,1270,5-0500,1270.0,CBAA,87.77
2010-01-01,1270,5-0500,1270.0,CFAA,37.36
2010-01-01,1270,5-0500,1270.0,CFAB,12.0
2010-01-01,1270,5-0500,1270.0,CFDD,26.94
2010-01-01,1270,5-0500,1270.0,CGAD,108.65
2010-01-01,1270,5-0500,1270.0,CGBC,12.0
2010-01-01,1270,5-0500,1270.0,CLBA,62.29
2010-01-01,1270,5-0500,1270.0,DAAJ,245.87
2010-01-01,1270,5-0500,1270.0,DEAD,55.26
2010-01-01,1270,5-0500,1270.0,DGDM,27.86
2010-01-01,1270,5-0500,1270.0,DPAC,528.11
2010-01-01,1270,5-0500,1270.0,DPBC,709.12
2010-01-01,1270,5-0500,1270.0,DWDM,530.06
2010-01-01,1270,5-0500,1270.0,DYDM,97.68
2010-01-01,1270,5-0500,1270.0,FCAE,599.52
2010-01-01,1270,5-0500,1270.0,GABD,58.62
2010-01-01,1270,5-0500,1270.0,GABF,24.6
2010-01-01,1270,5-0500,1270.0,GBBF,147.62
2010-01-01,1270,5-0500,1270.0,JAAG,12.0
2010-01-01,1270,5-0500,1270.0,JCDA,12.0
2010-01-01,1270,5-0500,1270.0,JDAE,102.9
2010-01-01,1270,5-0500,1270.0,RJBF,49.95
2010-01-01,1270,5-0500,1270.0,VHEX,154.4
2010-01-01,1270,5-0500,1270.0,YEXX,2291.93
2010-01-01,1270,5-1000,1220.0,CFDD,35.42
2010-01-01,1270,5-1000,1270.0,ALAB,23.0
2010-01-01,1270,5-1000,1270.0,CLBA,963.25
2010-01-01,1270,5-1000,1270.0,DGDM,480.63
2010-01-01,1270,5-1000,1270.0,DPAC,1031.75
2010-01-01,1270,5-1000,1270.0,DWDM,2421.13
2010-01-01,1270,5-1000,1270.0,GBBF,308.95
2010-01-01,1270,5-1000,1270.0,VHEX,185.8
2010-01-01,1270,5-1000,1270.0,YEXX,135.0
2010-01-01,1270,5-1000,1620.0,ALAB,50.0
2010-01-01,1275,5-0500,1275.0,2ECX,30.1
2010-01-01,1275,5-0500,1275.0,2KDD,8.52
2010-01-01,1275,5-0500,1275.0,3FCA,143.7
2010-01-01,1275,5-0500,1275.0,3FCD,45.18
2010-01-01,1275,5-0500,1275.0,4ADX,20.07
2010-01-01,1275,5-0500,1275.0,4DXX,10.05
2010-01-01,1275,5-0500,1275.0,4KAD,7.02
2010-01-01,1275,5-0500,1275.0,5AFC,38.83
2010-01-01,1275,5-0500,1275.0,5BDC,76.87
2010-01-01,1275,5-0500,1275.0,6GCA,764.13
2010-01-01,1275,5-0500,1275.0,6HBX,136.49
2010-01-01,1275,5-0500,1275.0,6VBF,74.92
2010-01-01,1275,5-0500,1275.0,7EXX,12.02
2010-01-01,1275,5-0500,1275.0,7HXX,15.0
2010-01-01,1275,5-0500,1275.0,AAAA,84.76
2010-01-01,1275,5-0500,1275.0,ABAA,102.52
2010-01-01,1275,5-0500,1275.0,ACAA,11.15
2010-01-01,1275,5-0500,1275.0,AHAB,412.7
2010-01-01,1275,5-0500,1275.0,AQAA,297.2
2010-01-01,1275,5-0500,1275.0,BHAC,213.26
2010-01-01,1275,5-0500,1275.0,BJAD,529.85
2010-01-01,1275,5-0500,1275.0,BPAK,36.36
2010-01-01,1275,5-0500,1275.0,CBAA,95.04
2010-01-01,1275,5-0500,1275.0,CFAA,504.09
2010-01-01,1275,5-0500,1275.0,CGAB,122.87
2010-01-01,1275,5-0500,1275.0,CGDD,371.71
2010-01-01,1275,5-0500,1275.0,DAAC,649.68
2010-01-01,1275,5-0500,1275.0,DCAC,599.39
2010-01-01,1275,5-0500,1275.0,DGDM,91.84
2010-01-01,1275,5-0500,1275.0,DWDM,1226.9
2010-01-01,1275,5-0500,1275.0,DYDM,3411.68
2010-01-01,1275,5-0500,1275.0,EABC,30.59
2010-01-01,1275,5-0500,1275.0,FCAD,228.33
2010-01-01,1275,5-0500,1275.0,FCAE,462.69
2010-01-01,1275,5-0500,1275.0,FCAF,189.43
2010-01-01,1275,5-0500,1275.0,GABG,41.47
2010-01-01,1275,5-0500,1275.0,GABH,9.71
2010-01-01,1275,5-0500,1275.0,GBBD,686.85
2010-01-01,1275,5-0500,1275.0,GBBF,712.99
2010-01-01,1275,5-0500,1275.0,HACE,457.07
2010-01-01,1275,5-0500,1275.0,PJCX,853.91
2010-01-01,1275,5-0500,1275.0,RABF,100.04
2010-01-01,1275,5-0500,1275.0,SCAB,5.01
2010-01-01,1275,5-0500,1275.0,YEXX,5990.81
2010-01-01,1275,5-0500,1280.0,AHAB,62.9
2010-01-01,1275,5-1000,1275.0,DCAC,85.0
2010-01-01,1275,5-1000,1275.0,DGDM,207.8
2010-01-01,1275,5-1000,1275.0,DWDM,120.0
2010-01-01,1275,5-1000,1275.0,DYDM,956.68
2010-01-01,1275,5-1000,1275.0,FCAD,122.45
2010-01-01,1275,5-1000,1275.0,GBBD,124.2
2010-01-01,1275,5-1000,1275.0,GBBF,5857.45
2010-01-01,1275,5-1000,1275.0,KADX,836.06
2010-01-01,1275,5-1000,1275.0,YEXX,1638.44
2010-01-01,1280,5-0500,1240.0,1AEC,3584.22
2010-01-01,1280,5-0500,1280.0,AAAA,113.46
2010-01-01,1280,5-0500,1280.0,ADAA,234.15
2010-01-01,1280,5-0500,1280.0,BAAA,458.88
2010-01-01,1280,5-0500,1280.0,BBAA,11.47
2010-01-01,1280,5-0500,1280.0,BSAB,158.68
2010-01-01,1280,5-0500,1280.0,CEAA,14.62
2010-01-01,1280,5-0500,1280.0,CFAA,3667.0
2010-01-01,1280,5-0500,1280.0,CGAB,484.36
2010-01-01,1280,5-0500,1280.0,CUFB,66.19
2010-01-01,1280,5-0500,1280.0,DAAK,189.84
2010-01-01,1280,5-0500,1280.0,DCAC,48.74
2010-01-01,1280,5-0500,1280.0,DCAE,20.34
2010-01-01,1280,5-0500,1280.0,DCAJ,581.42
2010-01-01,1280,5-0500,1280.0,FCAC,533.67
2010-01-01,1280,5-0500,1280.0,MBBB,27.08
2010-01-01,1280,5-0500,1280.0,RDXB,55.98
2010-01-01,1280,5-0500,1280.0,YEXX,245.62
2010-01-01,1280,5-1000,970.0,BAAA,16.25
2010-01-01,1280,5-1000,1280.0,BAAA,69.95
2010-01-01,1280,5-1000,1280.0,CFAA,750.0
2010-01-01,1280,5-1000,1280.0,DCAC,156.0
2010-01-01,1280,5-1000,1280.0,WAXX,1260.5
2010-01-01,1290,5-0500,1275.0,CFAA,13.35
2010-01-01,1290,5-0500,1290.0,2ABA,321.9
2010-01-01,1290,5-0500,1290.0,2ACA,274.87
2010-01-01,1290,5-0500,1290.0,2BAX,0.0
2010-01-01,1290,5-0500,1290.0,2KAA,105.17
2010-01-01,1290,5-0500,1290.0,3ADD,349.21
2010-01-01,1290,5-0500,1290.0,3BBD,0.0
2010-01-01,1290,5-0500,1290.0,3FCA,10.0
2010-01-01,1290,5-0500,1290.0,4DXX,1.0
2010-01-01,1290,5-0500,1290.0,8REE,56.98
2010-01-01,1290,5-0500,1290.0,ADCA,29.95
2010-01-01,1290,5-0500,1290.0,BAAA,20.93
2010-01-01,1290,5-0500,1290.0,BHAC,0.0
2010-01-01,1290,5-0500,1290.0,CBAA,20.84
2010-01-01,1290,5-0500,1290.0,CFAA,703.01
2010-01-01,1290,5-0500,1290.0,CFBA,113.7
2010-01-01,1290,5-0500,1290.0,CGAB,549.86
2010-01-01,1290,5-0500,1290.0,DAAJ,829.32
2010-01-01,1290,5-0500,1290.0,DAAK,497.48
2010-01-01,1290,5-0500,1290.0,DBDM,1095.91
2010-01-01,1290,5-0500,1290.0,DCAE,1.0
2010-01-01,1290,5-0500,1290.0,DCBC,35.0
2010-01-01,1290,5-0500,1290.0,GAFJ,971.65
